yob,year,annwage,weeks,veteran,lott1,lott2,lott3,lott4,lott5,lott6,lott7,lott8,lott9,lott10,lott11,lott12,lott13
53,79,3000,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,79,14000,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,79,11500,52,1,0,0,1,0,0,0,0,0,0,0,0,0,0
53,79,14000,51,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,79,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
51,79,6600,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,79,11000,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,79,11000,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,79,6611,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53,79,11000,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,79,6200,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,79,14585,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,79,9014,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,79,4500,37,0,0,0,0,0,0,0,0,0,0,0,1,0,0
51,79,15000,40,1,0,0,0,0,0,0,0,0,0,1,0,0,0
51,79,20000,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,79,9500,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,79,10500,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,79,8840,52,0,0,0,0,1,0,0,0,0,0,0,0,0,0
53,79,13440,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,79,8577,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,79,3118,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51,79,7000,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53,79,3640,28,1,0,0,0,0,1,0,0,0,0,0,0,0,0
51,79,7000,43,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,79,17000,52,1,0,0,1,0,0,0,0,0,0,0,0,0,0
51,79,6606,39,1,0,0,0,1,0,0,0,0,0,0,0,0,0
53,79,10082,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,79,18554,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,79,0,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,79,13026,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,79,200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,79,15000,52,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,79,21000,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,79,15800,52,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,79,23326,51,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,79,11000,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,79,5000,52,1,0,0,0,0,0,0,1,0,0,0,0,0,0
53,79,9000,52,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,79,7850,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,79,24000,52,1,0,0,0,0,0,0,0,0,0,0,0,1,0
53,79,15000,52,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52,79,700,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,79,9600,52,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51,79,6000,43,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,79,23000,52,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,79,11200,52,1,0,0,0,0,0,0,0,0,0,0,0,1,0
51,79,8750,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,79,8000,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,79,1830,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52,79,1200,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,79,16000,52,1,0,0,0,0,0,0,0,0,1,0,0,0,0
52,79,11000,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51,79,19800,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,79,2350,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,79,13000,52,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,79,16080,52,1,1,0,0,0,0,0,0,0,0,0,0,0,0
53,79,11800,52,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51,79,12200,52,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52,79,22000,51,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,79,6900,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,79,4430,27,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50,79,5500,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,79,16500,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,79,13500,51,0,0,0,0,0,0,0,0,0,0,0,1,0,0
51,79,11960,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,79,13700,52,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,79,7000,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51,79,10000,52,0,0,0,0,0,0,0,1,0,0,0,0,0,0
52,79,15300,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,79,8500,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,79,28000,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,79,10000,51,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51,79,14000,52,1,0,0,0,0,0,0,0,0,0,0,1,0,0
51,79,14560,52,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,79,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51,79,500,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51,79,10300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,79,15600,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,79,8000,52,1,0,0,0,1,0,0,0,0,0,0,0,0,0
53,79,17500,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,79,5000,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,79,10140,52,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,79,5772,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51,79,2860,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,79,12600,52,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52,79,11000,50,1,0,1,0,0,0,0,0,0,0,0,0,0,0
52,79,16000,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52,79,10064,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50,79,0,52,0,0,0,0,1,0,0,0,0,0,0,0,0,0
53,79,9000,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,79,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,79,19500,52,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,79,16900,52,0,0,0,0,1,0,0,0,0,0,0,0,0,0
